FoodID,FoodGroupID,Name
2,22,Soufflé au fromage
4,22,"Chop suey, avec viande, conserve"
5,22,"Mets chinois, chow mein, poulet"
6,18,"Maïs, beignet"
7,22,"Boeuf braisé, avec pomme de terre au four, pois et maïs"
8,22,Poulet frit avec pommes de terre en purée et légumes
9,22,"Pain de viande avec sauce aux tomates, pommes de terre en purée et pois"
10,22,Dinde tranchée avec pommes de terre en purée et pois
13,2,"Vinaigre, cidre"
14,2,"Vinaigre, distillé (blanc)"
16,1,Beurre fouetté
17,1,"Huile de beurre, anhydre"
18,1,Fromage bleu
19,1,Fromage brick
20,1,Fromage brie
21,1,Fromage camembert
22,1,Fromage carvi
23,1,Fromage cheshire
24,1,Fromage colby
25,1,"Fromage cottage en crème (4,5% M.G.)"
26,1,Fromage cottage en crème avec fruits
27,1,"Fromage cottage sec pressé (0,4% M.G.)"
28,1,Fromage à la crème
29,1,Fromage edam
30,1,Fromage fontina
31,1,Fromage gjetost
32,1,Fromage gruyère
33,1,Fromage limburger (limbourg)
34,1,Fromage monterey
35,1,"Fromage mozzarella (48%d'humidité, 25% M.G.)"
37,1,Fromage muenster
38,1,Fromage neufchatel
39,1,"Fromage parmesan, râpé"
40,1,"Fromage parmesan, pâte dure"
41,1,Fromage port-salut
42,1,Fromage provolone
43,1,"Fromage ricotta, avec lait entier"
44,1,"Fromage ricotta, avec lait partiellement écrémé"
45,1,Fromage romano
46,1,Fromage roquefort (bleu)
47,1,Fromage suisse (emmental)
48,1,"Fromage tilsit, avec lait entier"
51,1,"Fromage fondu, préparation, cheddar, conditionné à froid"
52,1,"Fromage fondu, préparation, Suisse, pain"
54,1,"Crème, garniture fouettée, sous pression (bombe)"
55,1,"Lait de poule, 7% M.G., produit canadien, 4% à 8% M.G."
56,1,"Colorant à café (non laitier), liquide"
57,1,"Garniture à dessert (non laitière), poudre"
58,1,"Garniture à dessert (non laitière), poudre, préparée avec lait entier"
59,1,"Garniture à dessert (non laitière), sous pression (bombe)"
60,1,"Garniture à dessert (non laitière), congelée, semi-solide"
61,1,"Lait, partiellement écrémé, liquide, 2% M.G."
63,1,"Lait, liquide, partiellement écrémé, 1% M.G."
66,1,"Lait, poudre, entier"
67,1,"Babeurre, poudre, crème douce"
68,1,"Lait, concentré, sucré, conserve"
69,1,"Lait, liquide, chocolat, entier"
70,1,"Lait, liquide, chocolat, partiellement écrémé, 2% M.G."
71,14,"Chocolat chaud, cacao, fait maison, préparé avec lait 2% m.g."
72,1,"Lait, liquide, chèvre, enrichi, entier"
73,1,"Lait, liquide, humain (lait maternel), mature, entier"
74,1,"Lait, liquide, brebis, entier"
75,14,"Lait frappé, chocolat, épais"
76,14,"Lait frappé, vanille, épais"
77,1,"Lactoserum, acide, liquide"
78,1,"Lactoserum, acide, poudre"
79,1,"Lactoserum, sucré, liquide"
80,1,"Lactoserum, sucré, poudre"
83,1,"Oeuf, poule, déshydraté, entier"
84,1,"Oeuf, poule, déshydraté, entier, stabilisé"
85,1,"Oeuf, poule, blanc, séché, flocons"
86,1,"Oeuf, poule, blanc, déshydraté, poudre, réduit en glucose"
87,1,"Oeuf, poule, jaune, déshydraté"
88,1,"Oeuf, canard, entier, frais, cru"
89,1,"Oeuf, oie, entier, frais, cru"
90,1,"Oeuf, caille, entier, frais, cru"
91,1,"Oeuf, dinde, entier, frais, cru"
92,1,"Beurre, sans sel"
93,1,"Fromage parmesan, râpé en filaments"
96,1,"Fromage chèvre, dur, (moins de 35% eau, 36% M.G.)"
97,1,"Fromage de chèvre, semi-mou, (35% à 55% eau, 30% M.G.)"
98,1,"Fromage de chèvre, mou, (plus de 55% eau, 21% M.G.)"
100,1,Fondue au fromage
101,1,"Fromage, sauce, faite maison"
102,1,"Fromage mexicain, queso anejo"
103,1,"Fromage mexicain, queso asadero"
104,1,"Fromage Mexicain, queso chihuahua"
105,1,"Fromage, type cheddar ou colby, faible en gras (7% M.G.)"
106,1,"Fromage, type cheddar ou colby, faible en sodium"
107,1,"Fromage cottage, (1% M.G.)"
108,1,Fromage féta
109,1,Fromage gouda
110,1,"Fromage mozzarella, (52% eau, 22.5% M.G.)"
111,1,"Fromage mozzarella, partiellement écrémé, (52% eau, 16.5% M.G.)"
112,1,"Lait, concentré, écrémé, conserve, non dilué, 0.2% M.G."
113,1,"Lait, liquide, entier, homogénéisé, pasteurisé, 3.25% M.G."
114,1,"Lait, liquide, écrémé"
115,1,"Lait, poudre, écrémé, instant"
116,14,"Chocolat chaud, cacao, fait maison, préparé avec lait entier"
117,1,"Oeuf, succédané, congelé (jaune remplacé)"
118,1,"Beurre, salé"
119,1,Fromage cheddar
120,1,"Fromage cottage, (2% M.G.)"
122,1,"Colorant à café (non laitier), en poudre"
123,1,"Lait, liquide, entier, agriculteur, 3.7% M.G."
124,1,"Babeurre, liquide, culture, 1% M.G."
125,1,"Oeuf, poule, entier, frais ou congelé, cru"
126,1,"Oeuf, poule, blanc, frais ou congelé, cru"
127,1,"Oeuf, poule, jaune, frais ou congelé, cru"
129,1,"Oeuf, poule, entier, cuit, frit"
130,1,"Oeuf, poule, entier, cuit, bouilli à la coque, dur"
132,1,"Oeuf, poule, entier, cuit, poché"
133,1,"Oeuf, poule, entier, cuit, brouillé ou omelette"
134,1,"Lait, en poudre, écrémé"
136,1,"Crème à café (crème de table), 18% M.G."
137,1,"Crème à fouetter, 32% M.G."
138,1,"Crème à fouetter, 35% M.G."
139,1,"Crème sure, de culture, 14% M.G."
140,1,"Lait, concentré, entier, conserve, non dilué, 7,8% M.G."
147,1,"Fromage cottage sec, pressé, sans gras, gros et petit grain"
150,1,"Crème à céréales (moitié-moitié), 10% M.G."
151,1,"Crème, à café (de table), 15% M.G."
152,1,"Crème sure, de culture, 18% M.G."
153,1,"Lait, concentré, partiellemente écrémé, conserve, non dilué, 2% M.G."
160,1,"Fromage, réduit en calories (6% M.G.)"
163,1,Crème de table (à café) 20% M.G.
164,19,"Dessert, congelé, yogourt glacé"
169,2,"Épices, piments de la jamaïque, moulu"
170,2,"Épices, anis, graines"
171,2,"Épices, basilic, déshydraté"
172,2,"Épices, laurier, feuilles"
173,2,"Épices, carvi, graines"
174,2,"Épices, cardamome, moulue"
175,2,"Épices, céleri, graines"
176,2,"Épices, cerfeuil, déshydraté"
177,2,"Épices, chili, poudre"
178,2,"Épices, cannelle, moulue"
179,2,"Épices, clou de girofle, moulu"
180,2,"Épices, coriandre (cilantro), feuilles, déshydraté"
181,2,"Épices, coriandre (cilantro), graines"
182,2,"Épices, cumin, graines"
183,2,"Épices, cari, poudre"
184,2,"Épices, aneth, graines"
185,2,"Épices, aneth, déshydraté"
186,2,"Épices, fenouil, graines"
187,2,"Épices, fenugrec, graines"
