NutrientID,Unit,Name
203,g,PROTÉINES
204,g,LIPIDES TOTAUX
205,g,GLUCIDES TOTAUX (PAR DIFFÉRENCE)
207,g,"CENDRES, TOTALES"
208,kCal,ÉNERGIE (KILOCALORIES)
810,g,AMIDON
210,g,SUCROSE
211,g,GLUCOSE
212,g,FRUCTOSE
213,g,LACTOSE
214,g,MALTOSE
221,g,ALCOOL
245,mg,ACIDE OXALIQUE
255,g,EAU
260,g,MANNITOL
261,g,SORBITOL
262,mg,CAFÉINE
263,mg,THÉOBROMINE
268,kJ,ÉNERGIE (KILOJOULES)
269,g,SUCRES TOTAUX
287,g,GALACTOSE
291,g,FIBRES ALIMENTAIRES TOTALES
301,mg,CALCIUM
303,mg,FER
304,mg,MAGNÉSIUM
305,mg,PHOSPHORE
306,mg,POTASSIUM
307,mg,SODIUM
309,mg,ZINC
312,mg,CUIVRE
315,mg,MANGANÈSE
317,µg,SÉLÉNIUM
319,µg,RÉTINOL
814,µg,ÉQUIVALENTS D'ACTIVITÉ DU RÉTINOL
321,µg,BÉTA CAROTÈNE
834,µg,ALPHA-CAROTÈNE
323,mg,ALPHA-TOCOPHÉROL
324,IU,VITAMINE D (UNITES INTERNATIONALES)
876,µg,"VITAMINE D2, (ERGOCALCIFÉROL)"
339,µg,VITAMINE D (D2 + D3)
835,µg,BÊTA-CRYPTOZANTHINE
836,µg,LYCOPÈNE
837,µg,LUTÉINE ET ZÉAXANTHINE
811,mg,BÊTA-TOCOPHÉROL
812,mg,GAMMA-TOCOPHÉROL
813,mg,DELTA-TOCOPHÉROL
401,mg,VITAMINE C
404,mg,THIAMINE
405,mg,RIBOFLAVINE
406,mg,NIACINE (ACIDE NICOTINIQUE) PRÉFORMÉE
409,NE,ÉQUIVALENT EN NIACINE TOTALE
410,mg,ACIDE PANTOTHÉNIQUE
415,mg,VITAMINE B-6
416,µg,BIOTINE
417,µg,FOLACINE TOTALE
418,µg,VITAMINE B-12
862,mg,"CHOLINE, TOTALE"
430,µg,VITAMINE K
431,µg,ACIDE FOLIQUE
