FoodID,YieldID,Amount
57,985,22
57,1391,1
66,985,33
67,985,25
112,985,133
115,993,24
126,940,69
127,940,31
134,985,24
140,985,133
153,985,133
555,464,10
556,682,102
556,686,340
556,1395,1027
557,682,67
557,686,234
557,1395,707
558,682,71
558,686,226
558,1395,683
559,682,74
559,686,248
559,1395,750
560,686,304
561,682,102
561,686,309
561,1398,932
562,682,67
562,686,207
563,682,71
563,686,196
563,1398,598
564,682,74
564,686,221
565,686,217
565,1398,658
566,686,171
566,1398,516
566,1644,67
567,682,78
567,686,161
567,1398,486
568,682,78
568,686,173
568,1398,524
569,686,126
570,686,36
571,464,1
571,686,25
572,686,14
573,686,15
574,686,12
575,683,60
576,686,2
577,683,46
578,686,11
579,683,63
580,686,128
581,682,74
581,686,125
582,682,74
582,686,86
583,682,67
583,686,87
584,682,67
584,686,99
585,686,176
586,682,74
586,686,184
587,682,67
587,686,121
588,682,71
588,686,111
589,682,78
589,686,121
590,686,97
591,686,71
591,1644,63
592,682,78
592,686,71
593,682,78
593,686,78
594,686,120
595,686,100
595,1644,67
596,682,78
596,686,89
597,682,78
597,686,95
598,686,79
598,1642,67
599,686,49
599,1642,42
600,686,39
600,1643,39
601,682,74
601,686,93
602,682,74
602,686,65
603,686,57
603,1644,63
604,686,47
604,1642,63
605,686,32
605,1642,53
606,686,28
606,1642,49
607,686,111
608,686,105
608,1642,67
609,686,74
609,1642,49
610,686,76
610,1642,49
611,686,83
611,1642,53
612,686,86
613,686,62
613,1642,67
614,686,63
614,1643,71
615,686,66
615,1643,46
616,686,17
617,686,18
617,1642,67
618,686,12
618,1642,46
619,686,12
619,1642,46
620,686,7
621,686,8
621,1643,39
622,686,6
622,1643,39
623,682,74
623,686,57
624,682,67
624,686,42
625,686,34
625,1644,67
626,686,32
627,686,32
627,1642,53
628,686,21
628,1642,35
629,686,23
629,1642,35
630,686,26
630,1642,42
631,686,19
632,686,13
632,1643,28
633,686,14
633,1642,28
634,686,15
634,1642,28
635,465,15
635,682,75
636,664,1072
636,682,71
636,686,259
637,686,323
